BiogeographicRealm.realm,ConservationActionsDocumentation.narrative,HabitatDocumentation.narrative,MapStatus.status,PopulationDocumentation.narrative,PopulationTrend.value,RangeDocumentation.narrative,RedListAssessmentDate.value,RedListCriteria.critVersion,RedListCriteria.dataDeficientReason,RedListCriteria.isManual,RedListCriteria.manualCategory,RedListCriteria.manualCriteria,RedListCriteria.possiblyExtinct,RedListCriteria.possiblyExtinctCandidate,RedListCriteria.yearLastSeen,RedListRationale.value,RedListReasonsForChange.catCritChanges,RedListReasonsForChange.changeReasons,RedListReasonsForChange.otherReason,RedListReasonsForChange.timeframe,RedListReasonsForChange.type,System.value,ThreatsDocumentation.value,UseTradeDocumentation.value,internal_taxon_id
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,"Still and moving waters in savannah, bush and woodland.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread in the tropical north, but not in southern Namibia or southern Botswana. Globally, it is widespread in Africa, except in dense rain forest.",02/09/2003,3.1,,true,LC,,false,false,,"Both within and outside southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No threats are known to be affecting the species at present.,,59951
Afrotropical|Palearctic,No information available.,Swamps.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread, except for in major parts of Namibia. Globally, it has been recorded from South Africa (Cape) to south Arabia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information available.,,59952
Afrotropical|Indomalayan|Palearctic,No specific conservation measures are known to be in place or are recommended at present.,"Pools, swampy habitats in savannah, temporary waters, bush and woodlands.",Incomplete,Large populations all over the species' range. No declines are expected.,Unknown,"In southern Africa, this species is widespread in all countries. Globally, it is widespread in continental Africa (except in dense forest), southern Europe, the middle East, and southern Asia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no threats known to be affecting the species at present.,,59954
Afrotropical,No information available.,Open streams.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread, but not in the arid southwest, Botswana or at the Cape. There is only one historic record in northern Namibia. Globally, it is widespread sub-Saharan Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information available.,,59955
Afrotropical,No information available.,"Streams, pools in bush, woodland or forest.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread, but there have been no records in the arid southwest, Botswana or the Cape. Globally, it is widespread in continental sub-Saharan Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information available.,,59956
Afrotropical,No information available.,"Swamps, streams, floodplains in woodland or bush.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread in the humid part of the region. It does not occur in the arid southwest or at the Cape. Globally, it is widespread in sub-Saharan Africa, and Madagascar.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Unknown. Drainage and destruction of swampy habitats are inferred threats.,,59957
Afrotropical,No specific conservation measures are known to be in place across the region or are recommended at present.,Streams in forest and dense woodland. In the arid southwest the species is limited to perennial springs.,Incomplete,No information is available on population size or trends.,Unknown,"This species is widespread in the southern Africa region. Globally, it is widespread in sub-Saharan Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),In parts of the region destruction of springs is a local threat. However it is unlikely to be seriously threatened across its whole range.,,59958
Afrotropical,No information available.,"Swamps, streams in bush or woodland.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread in the humid parts of the region, but not in the arid southwest or at the Cape. Globally, it is widespread in continental sub-Saharan Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"The main threats to the species are unknown. Furthermore, drainage and destruction of swampy habitats are inferred threats.",,59959
Afrotropical,No information available.,Swamp forest.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs in Angola and Zambia. Globally, it has been recorded from Zambia to Kenya and Guinea Bissau.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Current threats in the region are unknown. Drainage and destruction of swampy habitats are inferred threats.,,59962
Afrotropical,No information available.,"Swampy habitats in bush, woodland and forest.",Incomplete,"No information is available on population size or trends. However, the species is widespread in the region.",Unknown,"This species is widespread in the southern Africa region and locally common, not in the arid southwest and at the Cape. Globally, this species is widespread in sub-Saharan Africa (except in dense rain forest) and Madagascar.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and no serious threats are known at present. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Unknown. Drainage and destruction of swampy habitats are inferred threats.,,59969
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,"Swampy habitats in savannah, bush and woodland.",Incomplete,"No information is available on population size or trends. However, the species is widespread in the region.",Unknown,"In southern Africa, this species is widespread in the region. It does not occur in the arid southwest or at the Cape. <em>P. portia </em>was formerly regarded as a form of <em>P. lucia</em>. As a result, distribution information for the two is sometimes pooled together. Globally, it is widespread in sub-Saharan Africa (except in dense rain forest) and Madagascar.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution. There are no known threats at present and it is assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no current threats known to be seriously affecting the species.,,59970
Afrotropical|Australasian|Indomalayan|Nearctic|Neotropical|Palearctic,No specific conservation measures are known to be in place or are recommended at present.,"Occupies a variety of habitats, especially temporary pools. It also occurs deep in arid areas. The species is an obligatory seasonal migrant that follows the rainsfronts of the Intertropical Convergence Zone (ITCZ).",Incomplete,A very widespread and common species.,Unknown,"This species is very widespread and common all over the southern Africa region. Globally, it is a widespread and common migrant worldwide, occurring in all tropical and subtropical regions.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a widespread distribution. There are no threats seriously affecting the species at present and it is assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no know threats affecting this species at present.,,59971
Afrotropical,No specific conservation measures are known to be in place or are planned at present. Occurs in protected areas in parts of its range.,Streams and rivers in bush and forest.,Done,Current population size and trends are not known.,Unknown,"Within the southern Africa region, this species has records from rivers in all countries except Botswana. Globally, it is a widespread African species, occurring from the Cape region (South Africa) to Ethiopia, and west to Nigeria.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the region, this species has a wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No major threats are known at present.,,59974
Afrotropical,No information.,"Streams, rivers, in savanna or woodland, widespread and common.",Incomplete,The species seems to have stable populations at most rivers.,Stable,"In southern Africa, this species is widespread along the tropical rivers in all countries except Lesotho (its occurrence in Angola is assumed). Globally, it has been recorded from South Africa to Kenya and DRC.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and because is relatively common. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no major threats known at present.,,59975
Afrotropical|Palearctic,No specific conservation measures are known to be in place or are recommended at present.,"Open streams, and rivers or pools. The species is even found in temporary waters. This is one of the few Gomphidae that is able to complete larval development in less than a year (about two months). It is assumed to be multivoltine.",Incomplete,"The species often has enormous larval populations of up to 100 individuals per square m in perennial sections of ephemeral rivers. But also large populations e.g., in lower Orange and lower Kunene River.",Stable,"In southern Africa, this species is widespread and common in all countries. Globally, it is widespread in Africa and adjacent Eurasia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution. It is abundant and there are no threats known to be affecting the species at present. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no threats currently affecting this species.,,59976
Afrotropical,No information available.,Rivers and streams in bush country at low elevations.,Done,No information is available on population size or trends.,Unknown,"In southern Africa, this species is known from rivers in Zimbabwe and Mozambique, at low elevations. Globally, it has been recorded from Kenya, Zimbabwe, Mozambique and Tanzania.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a relatively wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information is available on current threats in the region.,,59978
Afrotropical,No information available.,"Swamps, slow streams in savannah or woodland.",Incomplete,"No information is available on population size or trends. However, this is a widespread species.",Unknown,"In southern Africa, this species is widespread mainly along the northern perennial rivers. Globally, it is widespread in tropical sub-Saharan Africa, except in forest areas.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information available.,,60060
Afrotropical|Palearctic,No specific conservation measures are known to be in place or are recommended at present.,"Streams, rivers and pools in savannah, woodland or bush. This is the most common species in all kinds of desert freshwaters.",Incomplete,Common.,Unknown,"This species is widespread and common in most of the region. Globally, it is widespread in Africa (except in rain forest areas), southern Europe, the Middle East, Indian Ocean Islands, and southern Asia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution. There are no serious threats affecting the species at present and it is assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No serious threats are known to be affecting the species at present.,,60062
Afrotropical,No information available.,"Shady streams and rivers in forest, woodland, bush and savannah, and shorelines of large lakes",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is known from all countries, but not in the southwestern (arid) parts of the region. Globally, it is widespread in sub-Saharan Africa except in dense rain forest.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside of the southern Africa region, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Globally its status is also Least Concern.",,,,,Nongenuine Change,Terrestrial|Freshwater (=Inland waters),Water pollution is likely to be the main threat in parts of the range falling within the vicinity of cities.,,60005
Afrotropical,No information available.,"Streams and rivers in bush, savannah and woodland.",Incomplete,No information is available on population size or trends.,Unknown,"This species is widespread in the southern Africa region, along perennial running waters. It is not found in the arid southwest. Globally, it is widespread in sub-Saharan Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution. There are no known threats affecting the population at present and it is assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no threats known to be seriously affecting the species at present.,,60076
Afrotropical|Indomalayan|Palearctic,No information available.,"Streams and rivers in desert, bush, savannah, woodland and thin forest, often above or near rapids.",Incomplete,"No information is available on population size or trends. However, this is a widespread species.",Unknown,"This species is widespread in the southern Africa region, except for in the Kalahari. Globally, it is widespread in Africa, southern Europe, the Middle East, and southern Asia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution. There are no serious threats known to be affecting the species at present and it is assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no known threats seriously affecting the species at present.,,60078
Afrotropical,No information available.,Swamp forest.,Missing,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs along the Indian Ocean Coast in South Africa and Mozambique. Globally, it has been recorded from South Africa and Mozambique to Uganda and to Cameroon.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Unknown. Forest destruction is a potential threat.,,60079
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,Rivers and floodplains.,Incomplete,"No information is available on population or trends. However, this is a widespread species.",Unknown,"In southern Africa, this species is widespread in the tropical north, ranging southwards to Natal. It is not found in the Cape or the arid southwest. Globally, it is widespread from Natal to Tanzania, Angola, and DRC.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. It is assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Currently no threats.,,60010
Afrotropical,No information is available at present.,"Swamps, pools, and oxbows. Grassy-fringed pools with lilies and partial shade (Samways 2006).",Incomplete,"No information is available on population size or trends. In South Africa, the species is rare (Samways 2006).",Unknown,"Within the southern Africa region, the species occurs from northern Zambia via the Caprivi, Botswana and Zimbabwe to the Waterberg Plateau in South Africa. Globally, the species occurs in South Africa and north Botswana to Zambia, and has also been recorded from Uganda.",09/06/2006,3.1,,true,LC,,false,false,,"Within the southern Africa region, this species has a wide range and is unlikely to be declining fast enough to qualify for a threatened or Near Threatened category. In view of this, it is assessed as Least Concern. The current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"In South Africa, overextraction of water from its habitat is a problem (Samways 2006 in press). No information is available from elsewhere in its range.",,60011
Afrotropical,"Known to occur within protected areas. No specific conservation measures are necessary for the species as a whole. However, further sites need to be located and some protection of known habitat would be beneficial (Samways 2006).",Swampy river courses.,Incomplete,Locally common.,Unknown,"In southern Africa, this is a common species along rivers in the tropical north. The southern limits are the Okavango and Limpopo Rivers, with only very few records occurring southwards in South Africa (where the southern form, subspecies <em>umsingaziense</em>, is endemic). It has not yet been recorded from Mozambique, but is expected to occur in southern Mozambique. Globally, it has been recorded from Malawi, Zimbabwe, Zambia, Botswana to Chad, and possibly Tanzania (but this record needs to be confirmed).",06/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide range and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. The species is assessed as Least Concern within the region. However, subspecies <em>P. c. umsingaziense</em> is known only from the Richards Bay area in South Africa and is threatened from urban development; this subspecies is listed as Vulnerable. The current global status for the species is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No serious threats to the species are known at present. The South African subspecies (<em>P. c. umsingaziense</em>) is threatened by urban development.,,60013
Afrotropical,No information is available.,"Streams, rivers in savanna, bush and woodland.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs along perennial rivers in the tropical north, southwards to Natal. It is not found in the arid southwest or at the Cape. Globally, it is recorded from Zimbabwe to Kenya.",09/06/2006,3.1,,true,LC,,false,false,,"Within the southern Africa region, this species has a wide range and is unlikely to be declining fast enough to qualify for a threatened or Near Threatened category. In view of this, it is assessed as Least Concern. The current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Unknown.,,60014
Afrotropical,No information available.,Reedy verges of fast streams and rivers.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs in Natal through Zimbabwe, to northern Zambia. Globally, it has been recorded from South Africa (Natal) to Kenya.",09/06/2006,3.1,,true,LC,,false,false,,"Within the southern Africa region, this species has a relatively wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern (Clausnitzer 2005, in IUCN 2006).",,,,,,Terrestrial|Freshwater (=Inland waters),Current threats are unknown.,,60015
Afrotropical,No information available.,"Shady streams in forest, thicket and bush.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs from Angola through Zambia, Zimbabwe, Mozambique and along the Indian Ocean coast to the Cape. It is not found in Namibia or in the Kalahari. Globally, it is widespread in sub-Saharan Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within the southern Africa region, this species has a wide distribution in the tropical north and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information is available on threats in the region.,,60018
Afrotropical,No information available.,"Streams, rivers in savannah and bush.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this is a widespread species in the northern part of the region. It does not occur in the arid southwest or at the Cape. Globally, is has been recorded from South Africa and Namibia, north to Sudan, and west to Senegal (except in forest).",09/06/2006,3.1,,true,LC,,false,false,,"Within the southern Africa region, this species has a wide distribution in the tropical north and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No current threats are known.,,60019
Afrotropical,No information available.,"Shady streams and rivers in various habitats, below 1,800 m a.s.l.",Incomplete,"No information is available on population size or trends. However, this is a very widespread species.",Unknown,"In southern Africa, this species is widespread in most of the region, but is very scattered in the arid areas. Globally, it is widespread in sub-Saharan Africa, except dense rain forest.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"In Namibia, the widely isolated populations are threatened by intrinsic factors (i.e., small subpopulation size and isolation). Threats elsewhere in the region are unknown.",,60022
Afrotropical,No specific conservation measures are known to be in place or are needed at present.,"Streams,  rivers and pools in savannah and bush.",Incomplete,Locally common.,Stable,"In southern Africa, this species is widespread all over the region. Globally, it has been recorded from South Africa (Cape), north to Somalia, and west to Ghana.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and it is locally common. It is unlikely to qualify for listing in a threatened or Near Threatened category and is assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No current threats are known to be affecting the species.,,60025
Afrotropical,No information available.,"Streams, rivers in bush and savannah.",Incomplete,"No information is available on population size or trends. However, this is a very widespread species in the region.",Unknown,"In southern Africa, this species is generally widespread in the region. It is not found at the Cape or in northern Namibia. Globally, it is recorded from South Africa (Cape) to Ethiopia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and it is unlikely to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information is available on threats within the region.,,60030
Afrotropical,"No information from most of the range is available at present. In South Africa, further surveys for subspecies <em>pseudosjoestedti</em> are required and monitoring to determine whether the species re-establishes (Samways 2006).","Pools, streams, and rivers in bush and forest. Tree-covered pools of savannah rivers (Samways 2006).",Incomplete,No information is available on population size or trends.,Unknown,"Within the southern Africa region, this species is recorded from in the tropical north, but does not occur in the arid southwest or in the Cape. There is only one record of subspecies <em>pseudosjoestedti</em> from South Africa; in lower reaches of the Sabie River in the Kruger National Park (Clark and Samways 1994) and it has not been recorded at that site after the floods of February 2000 (Samways 2006 in press). The species' global distribution is from South Africa to Kenya, and west to Liberia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. It is assessed as Least Concern within the region. The current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"In South Africa, threats appear to be principally natural, although these may be exacerbated by unknown human impacts (Samways 2006). No information is available from elsewhere in the range, however it is unlikely that there are serious threats across the entire range.",,60031
Afrotropical,No information available.,Montane streams or rivers.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread in the region, except for Botswana and Namibia. Globally, it has been recorded from Zimbabwe to Democratic Republic of Congo and Ethiopia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern..",,,,,,Terrestrial|Freshwater (=Inland waters),No information is available on threats in the region.,,60032
Afrotropical|Palearctic,No information available.,Streams and rivers.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread in the region, even in the arid parts, but is not found at the Cape. Globally, it has been recorded from northern South Africa to West and North Africa, and in the Middle East.",06/09/2003,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and it is unlikely to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"No information is available on threats within the region. However, this is a very widespread species.",,60033
Afrotropical,"Occurs in protected areas in parts of its range. In South Africa, monitoring of its range area is required (Samways 2006). No information is available from elsewhere in its range.","Fast flowing rivers or streams. In South Africa, it has been recorded from tall reeds and grasses fringing sluggish reaches of savannah rivers (Samways 2006).",Incomplete,"No information is available on population size or trends. However, it is unlikely to be declining at a fast rate across its whole range.",Unknown,"Within the southern Africa region, this species occurs in the tropical north, southwards to Natal. It does not occur in the arid southwest or at the Cape. In South Africa, it currently is known only from the Kruger National Park (Shingwedzi and Lower Sabie areas and the northwestern region of the Limpopo Province (Samways 2006 in press). Globally, it has been recorded from Natal and Namibia to northern Uganda and Sudan, and to West Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. It is assessed as Least Concern. The current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"No information is available on threats in most parts of its range. In South Africa, poor catchment management which exacerbates floods is the most important threat (Samways 2006).",,60034
Afrotropical|Indomalayan|Palearctic,No specific conservation measures are known to be in place or are recommended at present.,"Well-vegetated habitats, including pools, river margins, swampy and often seasonal habitats. The species seems to be migratory at least in parts of its range.",Incomplete,"No information is available on population size or trends. However, this is a very widespread species.",Unknown,"This species is widespread in most of the southern Africa region, but is not found at the Cape or in the arid southwest (except for few single records). Globally, it has a widespread range in Africa, the Middle East, southern Asia, and Indian Ocean Islands.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside southern Africa, this species has a very wide distribution. There are no serious threats affecting the species at present and it is assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no major threats known to be affecting the species at present.,,60037
Afrotropical|Indomalayan|Palearctic,No specific conservation measures are known to be in place or are recommended at present.,Breeds in a large variety of habitats with a preference to  temporary pools. The species is an obligate seasonal migrant to the deserts.,Incomplete,"No information is available on population size or trends. However, this is a very widespread species.",Unknown,"This species is widespread and common in the southern Africa region. Globally, it is widespread in Africa (except in forest), southern Europe, southern Asia, the Middle East, and Indian Ocean Islands.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution. There are no threats affecting it at present and it is assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no major threats known to be affecting the species at present.,,60038
Afrotropical,No information available.,"Shady pools, streams or swamps in various habitats except dense rainforest.",Incomplete,No information is available on population size or trends.,Unknown,"This species occurs in forested areas in the north and east of the southern Africa region. Globally, it has been recorded from South Africa to Somalia and Nigeria.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information is available on current threats within the region.,,60044
Afrotropical|Australasian|Indomalayan|Oceanian,No specific conservation measures are in place or are recommended at present.,"Pools and swamps in bush, woodland and forest. This seems to be a migratory species, entering desert areas.",Incomplete,"Locally very common, but the species is sometimes overseen due to its crepuscular behaviour.",Unknown,"In southern Africa, this species is widespread. There are no records from Angola so far but it is very likely to occur there. Globally, it is widespread in Africa, Asia, Australia, and the Indian Ocean Islands.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution. There are no known threats affecting the species at present and it is assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no threats known to be seriously affecting the species at present.,,60048
Afrotropical|Indomalayan|Palearctic,No specific conservation measures are known to be in place or are recommended at present.,"Pools, swamps and lake margins. An obligatory seasonal migrant.",Incomplete,A common species.,Unknown,"This species is widespread in the southern Africa region. It does not occur at the Cape or in the arid southwest. Globally, it is widespread in Africa, the Middle East, and southern Asia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution. There are no serious threats affecting the species at present and it is assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no threats known to be seriously affecting the species at present.,,60049
Afrotropical|Indomalayan|Palearctic,No specific conservation measures are known to be in place or are recommended at present.,Pools and swamps. This is a migratory species.,Incomplete,"Population size and trends are not known. However, this is a very widespread species.",Unknown,"In southern Africa, this species occurs mainly in the eastern parts along the coast and, in part, down to the Cape. It is scattered in the arid regions. To date, it has not been recorded in Angola. Globally, it is widespread in Africa, and common along the East African coast. It also occurs in the Middle East and Asia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution. There are no serious threats affecting the species at present and it is assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no threats known to be seriously affecting the species at present.,,60050
Afrotropical,No information available.,Streams and rivers in forest and woodland.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs at perennial rivers in the humid north and northeast. It is expected to also occur in Angola. It is not present in the arid southwest or at the Cape. Globally, it has been recorded from South Africa (Natal) to Kenya, and west to the Ivory Coast.",09/06/2006,3.1,,true,LC,,false,false,,"In southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Unknown. Degradation of gallery forest is the most likely threat.,,60051
